timestamp,label,z_val_m,real_w_cm,real_h_cm,TL_X,TL_Y,TR_X,TR_Y,BL_X,BL_Y,BR_X,BR_Y
17:53:12.060,person,0.7353,44.05,36.59,-0.2308,-0.0956,0.2097,-0.0956,-0.2308,0.2704,0.2097,0.2704
17:53:12.467,person,0.8673,51.33,44.07,-0.2686,-0.1199,0.2446,-0.1199,-0.2686,0.3207,0.2446,0.3207
17:53:12.467,refrigerator,1.538,152.86,114.66,-0.556,-0.5714,0.9726,-0.5714,-0.556,0.5751,0.9726,0.5751
17:53:12.791,person,0.8677,51.26,44.18,-0.2688,-0.1209,0.2439,-0.1209,-0.2688,0.3209,0.2439,0.3209
17:53:12.791,refrigerator,1.5626,159.2,115.68,-0.586,-0.5822,1.006,-0.5822,-0.586,0.5746,1.006,0.5746
17:53:13.122,person,0.87,51.85,44.11,-0.2704,-0.1203,0.2481,-0.1203,-0.2704,0.3208,0.2481,0.3208
17:53:13.122,refrigerator,1.5686,159.97,115.96,-0.5899,-0.5844,1.0098,-0.5844,-0.5899,0.5752,1.0098,0.5752
17:53:13.471,person,0.8606,50.84,43.9,-0.2665,-0.1208,0.2418,-0.1208,-0.2665,0.3182,0.2418,0.3182
17:53:13.472,refrigerator,1.5291,151.03,114.0,-0.5528,-0.5682,0.9575,-0.5682,-0.5528,0.5718,0.9575,0.5718
17:53:13.828,person,0.866,51.16,44.09,-0.2682,-0.1206,0.2434,-0.1206,-0.2682,0.3202,0.2434,0.3202
17:53:13.829,refrigerator,1.5285,150.65,113.95,-0.5526,-0.5679,0.9539,-0.5679,-0.5526,0.5716,0.9539,0.5716
17:53:14.165,person,0.8654,51.12,44.15,-0.268,-0.1205,0.2432,-0.1205,-0.268,0.3209,0.2432,0.3209
17:53:14.166,refrigerator,1.5304,150.68,114.09,-0.5517,-0.5686,0.9551,-0.5686,-0.5517,0.5723,0.9551,0.5723
17:53:14.493,person,0.8487,50.14,43.3,-0.2629,-0.1191,0.2385,-0.1191,-0.2629,0.3139,0.2385,0.3139
17:53:14.493,refrigerator,1.5178,151.01,113.15,-0.5582,-0.5639,0.9519,-0.5639,-0.5582,0.5676,0.9519,0.5676
17:53:14.841,person,0.8378,49.84,45.52,-0.2586,-0.1462,0.2398,-0.1462,-0.2586,0.309,0.2398,0.309
17:53:14.841,refrigerator,1.5967,163.33,117.38,-0.6071,-0.5949,1.0262,-0.5949,-0.6071,0.5789,1.0262,0.5789
17:53:15.159,person,0.8605,51.46,48.27,-0.2639,-0.1663,0.2508,-0.1663,-0.2639,0.3164,0.2508,0.3164
17:53:15.159,tie,0.8898,9.22,13.1,-0.0912,0.2017,0.0011,0.2017,-0.0912,0.3327,0.0011,0.3327
17:53:15.497,person,0.8818,52.82,49.74,-0.2676,-0.1731,0.2606,-0.1731,-0.2676,0.3243,0.2606,0.3243
17:53:15.828,person,0.9011,54.35,50.92,-0.2772,-0.1778,0.2663,-0.1778,-0.2772,0.3314,0.2663,0.3314
17:53:16.175,person,0.9052,55.07,51.06,-0.2813,-0.1777,0.2694,-0.1777,-0.2813,0.3329,0.2694,0.3329
17:53:16.492,person,0.9137,55.3,51.54,-0.2811,-0.1794,0.2719,-0.1794,-0.2811,0.336,0.2719,0.336
17:53:16.832,person,0.8973,54.31,50.7,-0.2733,-0.178,0.2698,-0.178,-0.2733,0.329,0.2698,0.329
17:53:17.164,person,0.8805,59.23,49.58,-0.3275,-0.1747,0.2648,-0.1747,-0.3275,0.3211,0.2648,0.3211
17:53:17.506,cell phone,0.3481,9.09,17.0,-0.1865,-0.0543,-0.0956,-0.0543,-0.1865,0.1157,-0.0956,0.1157
17:53:17.506,person,0.8991,61.69,50.81,-0.326,-0.1774,0.2909,-0.1774,-0.326,0.3306,0.2909,0.3306
17:53:17.833,cell phone,0.3764,9.67,17.25,-0.1841,-0.0723,-0.0873,-0.0723,-0.1841,0.1002,-0.0873,0.1002
17:53:17.834,person,1.4263,123.14,80.01,-0.7463,-0.2771,0.4851,-0.2771,-0.7463,0.523,0.4851,0.523
17:53:17.834,person,0.887,52.68,49.85,-0.2242,-0.1732,0.3026,-0.1732,-0.2242,0.3253,0.3026,0.3253
17:53:17.834,tie,0.4743,1.67,7.52,0.0202,0.1021,0.0369,0.1021,0.0202,0.1774,0.0369,0.1774
17:53:18.170,person,0.9135,57.47,52.47,-0.2564,-0.1888,0.3183,-0.1888,-0.2564,0.3359,0.3183,0.3359
17:53:18.171,cell phone,0.2806,7.68,14.37,-0.1555,-0.0568,-0.0788,-0.0568,-0.1555,0.0869,-0.0788,0.0869
17:53:18.497,cell phone,0.2551,6.77,12.94,-0.1465,-0.0633,-0.0788,-0.0633,-0.1465,0.066,-0.0788,0.066
17:53:18.497,person,0.868,55.68,50.76,-0.223,-0.1875,0.3339,-0.1875,-0.223,0.3201,0.3339,0.3201
17:53:18.497,person,1.4566,149.01,84.73,-0.9327,-0.3117,0.5573,-0.3117,-0.9327,0.5356,0.5573,0.5356
17:53:18.498,person,0.2512,10.29,10.73,-0.1658,-0.0155,-0.063,-0.0155,-0.1658,0.0919,-0.063,0.0919
17:53:18.830,cell phone,0.371,11.27,20.2,-0.2233,-0.129,-0.1107,-0.129,-0.2233,0.073,-0.1107,0.073
17:53:18.830,person,0.9043,61.02,52.88,-0.2389,-0.1944,0.3713,-0.1944,-0.2389,0.3344,0.3713,0.3344
17:53:18.830,refrigerator,0.9447,122.09,70.53,-0.6079,-0.352,0.6131,-0.352,-0.6079,0.3533,0.6131,0.3533
17:53:19.174,person,0.872,60.55,51.63,-0.2466,-0.1956,0.3589,-0.1956,-0.2466,0.3207,0.3589,0.3207
17:53:19.174,cell phone,0.3496,10.47,19.61,-0.229,-0.1194,-0.1242,-0.1194,-0.229,0.0767,-0.1242,0.0767
17:53:19.495,cell phone,0.3364,10.67,18.66,-0.2189,-0.1044,-0.1122,-0.1044,-0.2189,0.0822,-0.1122,0.0822
17:53:19.495,person,0.9107,82.49,54.11,-0.4482,-0.2062,0.3768,-0.2062,-0.4482,0.3349,0.3768,0.3349
17:53:19.836,person,0.8487,58.76,49.9,-0.2365,-0.1869,0.3511,-0.1869,-0.2365,0.3121,0.3511,0.3121
17:53:19.837,cell phone,0.2889,8.11,16.71,-0.1907,-0.0648,-0.1095,-0.0648,-0.1907,0.1023,-0.1095,0.1023
17:53:20.165,person,0.8616,59.74,50.92,-0.2419,-0.1915,0.3555,-0.1915,-0.2419,0.3177,0.3555,0.3177
17:53:20.166,cell phone,0.312,8.34,17.95,-0.2059,-0.0706,-0.1225,-0.0706,-0.2059,0.1089,-0.1225,0.1089
17:53:20.166,bowl,0.3056,3.61,4.28,-0.2017,0.0629,-0.1656,0.0629,-0.2017,0.1057,-0.1656,0.1057
17:53:20.498,person,0.8664,60.07,51.2,-0.2432,-0.1925,0.3575,-0.1925,-0.2432,0.3195,0.3575,0.3195
17:53:20.499,cell phone,0.3451,9.59,19.75,-0.2278,-0.0767,-0.1319,-0.0767,-0.2278,0.1208,-0.1319,0.1208
17:53:20.499,refrigerator,0.9457,95.76,70.21,-0.336,-0.3524,0.6216,-0.3524,-0.336,0.3497,0.6216,0.3497
17:53:20.832,cell phone,0.3275,8.69,19.87,-0.2162,-0.0864,-0.1293,-0.0864,-0.2162,0.1123,-0.1293,0.1123
17:53:20.833,person,0.8668,60.37,51.23,-0.2451,-0.1926,0.3586,-0.1926,-0.2451,0.3196,0.3586,0.3196
