frame,label,condition,raw_depth,agent_z,target_z,x_diff,z_diff,dist_ground
36,cell phone,30cm,7.8618,7.019,7.862,0.22,0.843,0.8712
36,cell phone,30cm,7.8618,6.978,7.862,1.466,0.884,1.7119
37,cell phone,30cm,7.8618,7.019,7.862,0.22,0.843,0.8712
37,cell phone,30cm,7.8618,6.978,7.862,1.466,0.884,1.7119
38,cell phone,30cm,7.8618,7.019,7.862,0.22,0.843,0.8712
38,cell phone,30cm,7.8618,6.978,7.862,1.466,0.884,1.7119
39,cell phone,30cm,7.8618,7.019,7.862,0.22,0.843,0.8712
39,cell phone,30cm,7.8618,6.978,7.862,1.466,0.884,1.7119
40,cell phone,30cm,8.4668,7.229,8.467,0.281,1.238,1.2695
40,cell phone,30cm,8.4668,7.205,8.467,1.509,1.262,1.9672
41,cell phone,30cm,8.3793,7.207,8.379,0.273,1.172,1.2034
41,cell phone,30cm,8.3793,6.711,8.379,1.788,1.668,2.4452
42,cell phone,30cm,8.4558,7.195,8.456,0.284,1.261,1.2926
42,cell phone,30cm,7.6754,7.195,7.675,3.542,0.48,3.5744
42,cell phone,30cm,8.4558,6.838,8.456,1.768,1.618,2.3966
42,cell phone,30cm,7.6754,6.838,7.675,2.058,0.837,2.2217
43,cell phone,30cm,8.4253,6.91,8.425,1.796,1.515,2.3496
43,cell phone,30cm,7.7981,6.91,7.798,2.022,0.888,2.2084
43,cell phone,30cm,8.4253,7.175,8.425,0.287,1.25,1.2825
43,cell phone,30cm,7.7981,7.175,7.798,3.531,0.623,3.5855
44,cell phone,30cm,8.4666,7.231,8.467,0.26,1.236,1.2631
44,cell phone,30cm,8.4666,6.94,8.467,1.726,1.527,2.3045
44,cell phone,30cm,7.909,7.231,7.909,3.573,0.678,3.6368
44,cell phone,30cm,7.909,6.94,7.909,2.107,0.969,2.3191
45,cell phone,30cm,7.0107,5.664,7.011,0.554,1.347,1.4565
45,cell phone,30cm,4.9197,5.664,4.92,3.057,0.744,3.1462
45,cell phone,30cm,7.0107,4.584,7.011,1.487,2.427,2.8463
45,cell phone,30cm,4.9197,4.584,4.92,2.124,0.336,2.1504
46,cell phone,30cm,7.1073,5.668,7.107,0.563,1.439,1.5452
47,cell phone,30cm,7.1841,5.666,7.184,0.592,1.518,1.6294
47,remote,30cm,4.4562,5.666,4.456,2.889,1.21,3.1322
47,cell phone,30cm,7.1841,3.275,7.184,2.472,3.909,4.625
47,remote,30cm,4.4562,3.275,4.456,1.009,1.181,1.5533
48,cell phone,30cm,7.1845,5.647,7.184,0.589,1.537,1.646
48,cell phone,30cm,7.1845,4.458,7.184,1.58,2.726,3.1508
49,cell phone,30cm,7.1845,5.647,7.184,0.589,1.537,1.646
49,cell phone,30cm,7.1845,4.458,7.184,1.58,2.726,3.1508
50,cell phone,30cm,8.2486,6.949,8.249,0.565,1.3,1.4175
50,cell phone,30cm,8.2486,6.836,8.249,1.821,1.413,2.3049
51,cell phone,30cm,8.5022,5.929,8.502,0.823,2.573,2.7014
51,remote,30cm,8.5008,5.929,8.501,0.823,2.572,2.7005
51,cell phone,30cm,8.5022,4.152,8.502,1.935,4.35,4.761
51,remote,30cm,8.5008,4.152,8.501,1.935,4.349,4.76
52,cell phone,30cm,8.2967,5.618,8.297,1.009,2.679,2.8627
52,cell phone,30cm,8.2967,4.125,8.297,1.802,4.172,4.5445
53,cell phone,30cm,8.2967,5.618,8.297,1.009,2.679,2.8627
53,cell phone,30cm,8.2967,4.125,8.297,1.802,4.172,4.5445
54,cell phone,30cm,8.2967,5.618,8.297,1.009,2.679,2.8627
54,cell phone,30cm,8.2967,4.125,8.297,1.802,4.172,4.5445
55,cell phone,30cm,8.0287,6.065,8.029,0.69,1.964,2.0817
55,cell phone,30cm,8.0287,4.106,8.029,1.706,3.923,4.2779
56,cell phone,30cm,8.0287,6.065,8.029,0.69,1.964,2.0817
56,cell phone,30cm,8.0287,4.106,8.029,1.706,3.923,4.2779
57,cell phone,30cm,8.0287,6.065,8.029,0.69,1.964,2.0817
57,cell phone,30cm,8.0287,4.106,8.029,1.706,3.923,4.2779
58,cell phone,30cm,8.0287,6.065,8.029,0.69,1.964,2.0817
58,cell phone,30cm,8.0287,4.106,8.029,1.706,3.923,4.2779
59,cell phone,30cm,8.0287,6.065,8.029,0.69,1.964,2.0817
59,cell phone,30cm,8.0287,4.106,8.029,1.706,3.923,4.2779
60,cell phone,30cm,8.685,6.319,8.685,0.891,2.366,2.5282
60,cell phone,30cm,8.685,4.066,8.685,1.779,4.619,4.9497
61,cell phone,30cm,8.3037,6.296,8.304,0.818,2.008,2.1682
61,remote,30cm,5.4092,6.296,5.409,3.672,0.887,3.7776
61,cell phone,30cm,5.4104,6.296,5.41,3.673,0.886,3.7783
61,cell phone,30cm,8.3037,4.056,8.304,1.664,4.248,4.5623
61,remote,30cm,5.4092,4.056,5.409,2.826,1.353,3.1332
61,cell phone,30cm,5.4104,4.056,5.41,2.827,1.354,3.1345
62,cell phone,30cm,7.9556,6.39,7.956,0.678,1.566,1.7065
62,remote,30cm,3.8835,6.39,3.884,2.827,2.506,3.7778
62,cell phone,30cm,7.9556,4.074,7.956,1.58,3.882,4.1912
62,remote,30cm,3.8835,4.074,3.884,1.925,0.19,1.9344
62,cell phone,30cm,7.9556,7.086,7.956,0.305,0.87,0.9219
62,remote,30cm,3.8835,7.086,3.884,3.2,3.202,4.5269
63,cell phone,30cm,8.2979,6.252,8.298,0.857,2.046,2.2182
63,remote,30cm,2.3724,6.252,2.372,1.891,3.88,4.3163
63,cell phone,30cm,8.2979,4.062,8.298,1.672,4.236,4.554
63,cell phone,30cm,8.2979,6.508,8.298,1.405,1.79,2.2755
63,remote,30cm,2.3724,4.062,2.372,1.076,1.69,2.0035
63,remote,30cm,2.3724,6.508,2.372,1.343,4.136,4.3486
64,cell phone,30cm,3.7889,3.908,3.789,1.351,0.119,1.3562
64,cell phone,30cm,3.7889,4.967,3.789,2.783,1.178,3.022
64,cell phone,30cm,3.7889,4.69,3.789,0.418,0.901,0.9932
64,remote,30cm,3.7891,3.908,3.789,1.351,0.119,1.3562
64,remote,30cm,2.6809,3.908,2.681,1.204,1.227,1.7191
64,remote,30cm,3.7891,4.967,3.789,2.783,1.178,3.022
64,remote,30cm,3.7891,4.69,3.789,0.418,0.901,0.9932
64,remote,30cm,2.6809,4.967,2.681,0.228,2.286,2.2973
64,remote,30cm,2.6809,4.69,2.681,2.137,2.009,2.9331
65,cell phone,30cm,3.9242,3.885,3.924,1.385,0.039,1.3855
65,cell phone,30cm,3.9242,5.014,3.924,3.022,1.09,3.2126
66,cell phone,30cm,3.8588,3.958,3.859,1.387,0.099,1.3905
66,cell phone,30cm,3.8588,5.012,3.859,3.885,1.153,4.0525
66,remote,30cm,3.8592,3.958,3.859,1.388,0.099,1.3915
66,remote,30cm,3.8592,5.012,3.859,3.886,1.153,4.0534
67,cell phone,30cm,3.8097,3.972,3.81,1.376,0.162,1.3855
67,cell phone,30cm,3.8097,5.23,3.81,4.013,1.42,4.2568
67,remote,30cm,3.8095,3.972,3.809,1.376,0.163,1.3856
67,remote,30cm,3.8095,5.23,3.809,4.013,1.421,4.2572
68,cell phone,30cm,3.8097,3.972,3.81,1.376,0.162,1.3855
68,cell phone,30cm,3.8097,5.23,3.81,4.013,1.42,4.2568
68,remote,30cm,3.8095,3.972,3.809,1.376,0.163,1.3856
68,remote,30cm,3.8095,5.23,3.809,4.013,1.421,4.2572
69,cell phone,30cm,3.8097,3.972,3.81,1.376,0.162,1.3855
69,cell phone,30cm,3.8097,5.23,3.81,4.013,1.42,4.2568
69,remote,30cm,3.8095,3.972,3.809,1.376,0.163,1.3856
69,remote,30cm,3.8095,5.23,3.809,4.013,1.421,4.2572
70,cell phone,30cm,8.8363,4.607,8.836,3.093,4.229,5.2394
70,cell phone,30cm,8.8363,9.314,8.836,7.839,0.478,7.8536
70,remote,30cm,8.8372,4.607,8.837,3.093,4.23,5.2402
70,remote,30cm,8.8372,9.314,8.837,7.839,0.477,7.8535
71,cell phone,30cm,4.811,4.599,4.811,2.387,0.212,2.3964
71,cell phone,30cm,4.811,8.519,4.811,5.964,3.708,7.0227
