timestamp,label,z_val_m,real_w_cm,real_h_cm,TL_X,TL_Y,TR_X,TR_Y,BL_X,BL_Y,BR_X,BR_Y
19:38:55.604,cell phone,0.6712,8.28,16.63,-0.1174,-0.042,-0.0347,-0.042,-0.1174,0.1243,-0.0347,0.1243
19:38:55.938,person,0.9622,56.15,59.36,-0.2083,-0.2418,0.3532,-0.2418,-0.2083,0.3518,0.3532,0.3518
19:38:55.938,cell phone,0.7048,8.55,17.39,-0.1233,-0.0434,-0.0379,-0.0434,-0.1233,0.1306,-0.0379,0.1306
19:38:55.939,person,0.3444,13.99,25.29,-0.227,-0.1276,-0.087,-0.1276,-0.227,0.1252,-0.087,0.1252
19:38:56.269,person,0.9556,55.86,59.05,-0.2078,-0.2411,0.3507,-0.2411,-0.2078,0.3494,0.3507,0.3494
19:38:56.270,cell phone,0.6982,8.47,17.3,-0.1229,-0.043,-0.0382,-0.043,-0.1229,0.13,-0.0382,0.13
19:38:56.270,person,0.3488,14.17,25.64,-0.2298,-0.1292,-0.0881,-0.1292,-0.2298,0.1272,-0.0881,0.1272
19:38:56.602,person,0.9539,55.76,58.85,-0.2075,-0.2397,0.3501,-0.2397,-0.2075,0.3488,0.3501,0.3488
19:38:56.603,cell phone,0.7097,8.53,17.66,-0.1257,-0.0437,-0.0403,-0.0437,-0.1257,0.1329,-0.0403,0.1329
19:38:56.603,person,0.3448,14.01,25.35,-0.2272,-0.1278,-0.0871,-0.1278,-0.2272,0.1257,-0.0871,0.1257
19:38:56.935,person,0.9471,55.27,58.43,-0.205,-0.238,0.3476,-0.238,-0.205,0.3463,0.3476,0.3463
19:38:56.936,cell phone,0.6604,7.94,16.23,-0.1183,-0.04,-0.0389,-0.04,-0.1183,0.1223,-0.0389,0.1223
19:38:56.936,person,0.3543,14.36,26.08,-0.2335,-0.1313,-0.0899,-0.1313,-0.2335,0.1295,-0.0899,0.1295
19:38:57.270,person,0.9525,55.68,58.76,-0.2081,-0.2393,0.3486,-0.2393,-0.2081,0.3483,0.3486,0.3483
19:38:57.271,cell phone,0.668,8.03,16.41,-0.1197,-0.0418,-0.0394,-0.0418,-0.1197,0.1224,-0.0394,0.1224
19:38:57.605,person,0.9556,55.66,59.06,-0.2068,-0.2411,0.3498,-0.2411,-0.2068,0.3494,0.3498,0.3494
19:38:57.606,cell phone,0.6914,8.38,16.99,-0.1231,-0.044,-0.0393,-0.044,-0.1231,0.1259,-0.0393,0.1259
19:38:57.939,person,0.9614,56.2,59.31,-0.2091,-0.2416,0.3529,-0.2416,-0.2091,0.3516,0.3529,0.3516
19:38:57.939,cell phone,0.7049,8.55,17.39,-0.1255,-0.0448,-0.0401,-0.0448,-0.1255,0.1291,-0.0401,0.1291
19:38:58.271,person,0.9618,56.02,59.34,-0.2082,-0.2417,0.352,-0.2417,-0.2082,0.3517,0.352,0.3517
19:38:58.271,cell phone,0.7191,8.64,17.74,-0.1273,-0.045,-0.0409,-0.045,-0.1273,0.1325,-0.0409,0.1325
19:38:58.604,person,0.9749,56.88,60.04,-0.211,-0.244,0.3578,-0.244,-0.211,0.3565,0.3578,0.3565
19:38:58.605,cell phone,0.735,8.91,18.14,-0.1301,-0.046,-0.041,-0.046,-0.1301,0.1354,-0.041,0.1354
19:38:58.937,person,0.971,56.66,59.8,-0.2102,-0.243,0.3564,-0.243,-0.2102,0.355,0.3564,0.355
19:38:58.937,cell phone,0.735,8.91,18.14,-0.1301,-0.046,-0.041,-0.046,-0.1301,0.1354,-0.041,0.1354
19:38:59.270,person,0.9643,56.37,59.49,-0.2097,-0.2423,0.3539,-0.2423,-0.2097,0.3526,0.3539,0.3526
19:38:59.270,cell phone,0.7278,8.82,18.03,-0.1281,-0.0455,-0.0399,-0.0455,-0.1281,0.1348,-0.0399,0.1348
19:38:59.270,tie,0.3168,3.74,12.58,-0.1861,-0.1167,-0.1487,-0.1167,-0.1861,0.0091,-0.1487,0.0091
19:38:59.604,person,0.9567,55.73,58.92,-0.2071,-0.2394,0.3502,-0.2394,-0.2071,0.3498,0.3502,0.3498
19:38:59.604,cell phone,0.7286,8.99,17.98,-0.1283,-0.0448,-0.0384,-0.0448,-0.1283,0.135,-0.0384,0.135
19:38:59.604,person,0.3473,13.64,25.53,-0.2292,-0.129,-0.0928,-0.129,-0.2292,0.1263,-0.0928,0.1263
19:38:59.937,cell phone,0.7194,8.8,17.75,-0.1259,-0.045,-0.0379,-0.045,-0.1259,0.1325,-0.0379,0.1325
19:38:59.937,person,0.9553,55.84,58.84,-0.2078,-0.2391,0.3507,-0.2391,-0.2078,0.3493,0.3507,0.3493
19:39:00.269,person,0.9598,56.01,59.12,-0.2078,-0.2402,0.3523,-0.2402,-0.2078,0.351,0.3523,0.351
19:39:00.269,cell phone,0.6963,8.59,17.04,-0.1219,-0.0436,-0.036,-0.0436,-0.1219,0.1268,-0.036,0.1268
19:39:00.604,person,0.9532,55.62,58.81,-0.2063,-0.2395,0.3499,-0.2395,-0.2063,0.3485,0.3499,0.3485
19:39:00.604,cell phone,0.6846,8.51,16.82,-0.1191,-0.0435,-0.0339,-0.0435,-0.1191,0.1247,-0.0339,0.1247
19:39:00.939,person,0.9788,57.01,60.28,-0.2108,-0.2449,0.3593,-0.2449,-0.2108,0.3579,0.3593,0.3579
19:39:00.939,cell phone,0.7134,8.8,17.68,-0.1241,-0.0446,-0.0361,-0.0446,-0.1241,0.1322,-0.0361,0.1322
19:39:01.270,person,0.966,56.37,59.6,-0.2091,-0.2427,0.3546,-0.2427,-0.2091,0.3532,0.3546,0.3532
19:39:01.271,cell phone,0.7115,8.7,17.56,-0.1245,-0.0438,-0.0375,-0.0438,-0.1245,0.1318,-0.0375,0.1318
