frame,label,condition,raw_depth,agent_z,target_z,x_diff,z_diff,dist_ground
23,tie,30cm,8.9191,6.41,8.919,0.146,2.509,2.5132
24,cell phone,30cm,8.2464,4.593,8.246,1.102,3.653,3.8156
24,cell phone,30cm,5.6004,4.593,5.6,0.334,1.007,1.0609
25,cell phone,30cm,7.8515,4.701,7.851,1.192,3.15,3.368
25,cell phone,30cm,6.0756,4.701,6.076,0.276,1.375,1.4024
25,cell phone,30cm,5.7873,4.701,5.787,0.186,1.086,1.1018
26,cell phone,30cm,7.7539,5.269,7.754,0.246,2.485,2.4971
27,cell phone,30cm,7.7539,5.269,7.754,0.246,2.485,2.4971
28,cell phone,30cm,7.7539,5.269,7.754,0.246,2.485,2.4971
29,cell phone,30cm,7.7539,5.269,7.754,0.246,2.485,2.4971
30,cell phone,30cm,8.1536,8.332,8.154,0.874,0.178,0.8919
41,cell phone,30cm,6.9535,7.048,6.954,0.96,0.094,0.9646
41,cell phone,30cm,7.077,7.048,7.077,0.213,0.029,0.215
42,cell phone,30cm,7.0954,7.149,7.095,0.979,0.054,0.9805
43,cell phone,30cm,7.0471,7.076,7.047,0.972,0.029,0.9724
43,cell phone,30cm,7.1202,7.076,7.12,0.183,0.044,0.1882
44,cell phone,30cm,7.0471,7.076,7.047,0.972,0.029,0.9724
44,cell phone,30cm,7.1202,7.076,7.12,0.183,0.044,0.1882
45,cell phone,30cm,7.001,6.98,7.001,0.98,0.021,0.9802
45,cell phone,30cm,7.1644,6.98,7.164,0.18,0.184,0.2574
46,cell phone,30cm,7.001,6.98,7.001,0.98,0.021,0.9802
46,cell phone,30cm,7.1644,6.98,7.164,0.18,0.184,0.2574
47,cell phone,30cm,7.001,6.98,7.001,0.98,0.021,0.9802
47,cell phone,30cm,7.1644,6.98,7.164,0.18,0.184,0.2574
48,cell phone,30cm,7.001,6.98,7.001,0.98,0.021,0.9802
48,cell phone,30cm,7.1644,6.98,7.164,0.18,0.184,0.2574
49,cell phone,30cm,7.001,6.98,7.001,0.98,0.021,0.9802
49,cell phone,30cm,7.1644,6.98,7.164,0.18,0.184,0.2574
50,cell phone,30cm,7.2566,8.074,7.257,1.128,0.817,1.3928
50,cell phone,30cm,7.9093,8.074,7.909,0.225,0.165,0.279
51,cell phone,30cm,7.2566,8.074,7.257,1.128,0.817,1.3928
51,cell phone,30cm,7.9093,8.074,7.909,0.225,0.165,0.279
52,cell phone,30cm,7.2566,8.074,7.257,1.128,0.817,1.3928
52,cell phone,30cm,7.9093,8.074,7.909,0.225,0.165,0.279
53,cell phone,30cm,7.2566,8.074,7.257,1.128,0.817,1.3928
53,cell phone,30cm,7.9093,8.074,7.909,0.225,0.165,0.279
54,cell phone,30cm,7.2153,8.067,7.215,1.141,0.852,1.424
54,cell phone,30cm,7.9081,8.067,7.908,0.199,0.159,0.2547
55,cell phone,30cm,6.5513,6.887,6.551,1.258,0.336,1.3021
