timestamp,label,z_val_m,real_w_cm,real_h_cm,TL_X,TL_Y,TR_X,TR_Y,BL_X,BL_Y,BR_X,BR_Y
18:02:35.964,person,0.7518,54.15,47.63,-0.1822,-0.2014,0.3593,-0.2014,-0.1822,0.2749,0.3593,0.2749
18:02:36.345,person,0.8287,59.86,52.16,-0.2,-0.2177,0.3986,-0.2177,-0.2,0.3039,0.3986,0.3039
18:02:36.676,person,0.8332,60.19,52.36,-0.2011,-0.218,0.4008,-0.218,-0.2011,0.3055,0.4008,0.3055
18:02:37.010,person,0.829,59.89,52.26,-0.2001,-0.2186,0.3988,-0.2186,-0.2001,0.304,0.3988,0.304
18:02:37.344,person,0.8063,57.07,50.58,-0.1837,-0.2093,0.387,-0.2093,-0.1837,0.2965,0.387,0.2965
18:02:37.685,person,0.8287,47.07,50.35,-0.06,-0.2005,0.4107,-0.2005,-0.06,0.303,0.4107,0.303
18:02:38.026,person,0.862,71.21,51.93,-0.267,-0.2032,0.4451,-0.2032,-0.267,0.3161,0.4451,0.3161
18:02:38.027,cell phone,0.5156,11.12,18.18,-0.1586,-0.0018,-0.0475,-0.0018,-0.1586,0.18,-0.0475,0.18
18:02:38.348,person,0.8456,68.53,50.94,-0.2505,-0.1993,0.4348,-0.1993,-0.2505,0.3101,0.4348,0.3101
18:02:38.348,cell phone,0.4869,8.48,16.36,-0.1422,-0.0027,-0.0575,-0.0027,-0.1422,0.1609,-0.0575,0.1609
18:02:38.686,cell phone,0.5126,8.93,17.59,-0.154,-0.0071,-0.0647,-0.0071,-0.154,0.1688,-0.0647,0.1688
18:02:38.686,person,0.8739,72.82,52.83,-0.2833,-0.2078,0.4449,-0.2078,-0.2833,0.3204,0.4449,0.3204
18:02:39.018,cell phone,0.5324,9.05,18.33,-0.1588,-0.009,-0.0683,-0.009,-0.1588,0.1742,-0.0683,0.1742
18:02:39.018,person,0.8884,75.77,53.7,-0.3046,-0.2113,0.4531,-0.2113,-0.3046,0.3258,0.4531,0.3258
