label,distance_label,object_state,target_z,footing_floor,floor_margin
book,1.0,elevated,1.0326,0.9963,-0.0363
book,1.0,elevated,1.0326,0.9963,-0.0363
book,1.0,elevated,1.0324,0.9963,-0.0361
book,1.0,elevated,1.0325,0.9963,-0.0362
book,1.0,elevated,1.0322,0.9962,-0.036
book,1.0,elevated,1.0324,0.9963,-0.0361
book,1.0,elevated,1.0324,0.9963,-0.0361
book,1.0,elevated,1.0323,0.9962,-0.0361
book,1.0,elevated,1.0322,0.9962,-0.036
book,1.0,elevated,1.0324,0.9963,-0.0361
book,1.0,elevated,1.0377,1.0023,-0.0354
book,1.0,elevated,1.0378,1.0023,-0.0355
book,1.0,elevated,1.0375,1.0023,-0.0352
book,1.0,elevated,1.0376,1.0023,-0.0353
book,1.0,elevated,1.0376,1.0023,-0.0353
book,1.0,elevated,1.0375,1.0023,-0.0352
book,1.0,elevated,1.0378,1.0024,-0.0354
book,1.0,elevated,1.0378,1.0024,-0.0354
book,1.0,elevated,1.0473,1.0096,-0.0376
book,1.0,elevated,1.0485,1.0109,-0.0376
book,1.0,elevated,1.0322,0.9883,-0.0439
book,1.0,elevated,1.0318,0.9882,-0.0436
book,1.0,elevated,1.032,0.9882,-0.0438
book,1.0,elevated,1.0318,0.9882,-0.0436
book,1.0,elevated,1.032,0.9882,-0.0438
book,1.0,elevated,1.032,0.9883,-0.0438
book,1.0,elevated,1.032,0.9883,-0.0437
book,1.0,elevated,1.032,0.9883,-0.0437
book,1.0,elevated,1.0318,0.9882,-0.0436
book,1.0,elevated,1.0318,0.9882,-0.0436
book,1.0,elevated,1.0185,0.9807,-0.0379
book,1.0,elevated,1.0185,0.9807,-0.0379
book,1.0,elevated,1.0185,0.9807,-0.0379
book,1.0,elevated,1.0186,0.9807,-0.038
book,1.0,elevated,1.0185,0.9807,-0.0378
book,1.0,elevated,1.0185,0.9807,-0.0379
book,1.0,elevated,1.0187,0.9807,-0.038
book,1.0,elevated,1.0185,0.9807,-0.0379
book,1.0,elevated,1.0185,0.9807,-0.0378
book,1.0,elevated,1.0185,0.9807,-0.0378
book,1.5,elevated,2.9387,2.7761,-0.1626
book,1.5,elevated,2.9381,2.7761,-0.162
book,1.5,elevated,2.938,2.777,-0.161
book,1.5,elevated,2.9375,2.7761,-0.1613
book,1.5,elevated,2.9375,2.7761,-0.1613
book,1.5,elevated,2.9381,2.7761,-0.162
book,1.5,elevated,2.9395,2.7695,-0.17
book,1.5,elevated,4.0676,4.1411,0.0735
book,1.5,elevated,4.0676,4.1411,0.0735
book,1.5,elevated,4.0676,4.1411,0.0735
book,1.5,elevated,4.0676,4.1411,0.0735
book,1.5,elevated,4.0676,4.1411,0.0735
book,1.5,elevated,4.0676,4.1411,0.0735
book,1.5,elevated,4.0677,4.1283,0.0605
book,1.5,elevated,1.6848,1.6534,-0.0314
book,1.5,elevated,1.654,1.4747,-0.1793
book,1.5,elevated,1.5163,1.3467,-0.1696
book,1.5,elevated,1.5163,1.3467,-0.1696
book,1.5,elevated,1.5163,1.3467,-0.1696
book,1.5,elevated,1.5161,1.3467,-0.1694
book,1.5,elevated,1.4746,1.2222,-0.2524
book,1.5,elevated,1.5161,1.3467,-0.1694
book,1.5,elevated,1.5162,1.3378,-0.1784
book,1.5,elevated,1.5163,1.3467,-0.1696
book,1.5,elevated,1.5122,1.4775,-0.0347
book,1.5,elevated,1.5283,1.4841,-0.0442
book,1.5,elevated,1.5495,1.3897,-0.1598
book,1.5,elevated,2.1687,1.8956,-0.2732
book,1.5,elevated,1.5495,1.3816,-0.1679
book,1.5,elevated,1.5493,1.3816,-0.1677
book,1.5,elevated,1.5492,1.3816,-0.1677
book,1.5,elevated,1.5492,1.3816,-0.1677
book,1.5,elevated,1.5492,1.3816,-0.1677
book,1.5,elevated,1.55,1.3963,-0.1537
book,1.5,elevated,1.5496,1.3963,-0.1533
book,1.5,elevated,1.5492,1.3816,-0.1677
book,1.5,elevated,1.5649,1.3967,-0.1682
book,1.5,elevated,1.5883,1.5624,-0.026
book,1.5,elevated,1.5885,1.5625,-0.026
book,1.5,elevated,1.5649,1.3967,-0.1682
book,1.5,elevated,1.5876,1.5621,-0.0255
book,1.5,elevated,1.5649,1.3794,-0.1855
book,1.5,elevated,1.5649,1.3794,-0.1855
book,1.5,elevated,1.5647,1.3966,-0.1682
book,1.5,elevated,3.5708,3.616,0.0452
book,1.5,elevated,1.4596,1.3101,-0.1495
book,1.5,elevated,1.4596,1.3101,-0.1495
book,1.5,elevated,1.4591,1.2958,-0.1634
book,1.5,elevated,1.4593,1.2958,-0.1635
book,1.5,elevated,1.4596,1.3036,-0.1561
book,1.5,elevated,1.4595,1.3036,-0.1559
book,1.5,elevated,1.4596,1.3101,-0.1495
book,1.5,elevated,1.4596,1.3101,-0.1495
book,1.5,elevated,1.4596,1.3101,-0.1495
book,1.5,elevated,1.4593,1.2958,-0.1635
book,1.5,elevated,1.4403,1.2842,-0.1562
book,1.5,elevated,1.4407,1.299,-0.1417
book,1.5,elevated,1.4407,1.299,-0.1417
book,1.5,elevated,1.4403,1.2842,-0.1562
book,1.5,elevated,1.4407,1.299,-0.1417
book,1.5,elevated,1.4407,1.299,-0.1417
book,1.5,elevated,1.4407,1.299,-0.1417
book,1.5,elevated,1.4409,1.299,-0.1419
book,1.5,elevated,1.4407,1.299,-0.1417
book,1.5,elevated,1.4407,1.299,-0.1417
book,1.5,elevated,1.452,1.3058,-0.1462
book,1.5,elevated,1.4521,1.3058,-0.1463
book,1.5,elevated,1.452,1.3058,-0.1462
book,1.5,elevated,1.452,1.3058,-0.1462
book,1.5,elevated,1.452,1.3058,-0.1462
book,1.5,elevated,1.452,1.3058,-0.1462
book,1.5,elevated,1.452,1.3058,-0.1462
book,1.5,elevated,1.452,1.3058,-0.1462
book,1.5,elevated,1.452,1.3058,-0.1462
book,1.5,elevated,1.452,1.3058,-0.1462
book,1.5,elevated,1.4533,1.308,-0.1453
book,1.5,elevated,1.4533,1.308,-0.1453
book,1.5,elevated,1.4533,1.308,-0.1453
book,1.5,elevated,1.4533,1.308,-0.1453
book,1.5,elevated,1.4533,1.308,-0.1453
book,1.5,elevated,1.4533,1.308,-0.1453
book,1.5,elevated,1.4533,1.308,-0.1453
book,1.5,elevated,1.4533,1.308,-0.1453
book,1.5,elevated,1.4533,1.308,-0.1453
book,1.5,elevated,1.4533,1.308,-0.1453
book,1.5,elevated,1.457,1.3094,-0.1476
book,1.5,elevated,3.94,3.9838,0.0439
book,1.5,elevated,3.94,3.9838,0.0439
book,1.5,elevated,3.9395,3.9838,0.0443
book,1.5,elevated,1.5833,1.4415,-0.1417
book,1.5,elevated,1.6667,1.4442,-0.2224
book,1.5,elevated,1.6672,1.4442,-0.2229
book,1.5,elevated,1.4915,1.3102,-0.1813
book,1.5,elevated,1.4913,1.3102,-0.1811
book,1.5,elevated,1.4909,1.3103,-0.1805
book,1.5,elevated,1.4912,1.3102,-0.181
book,1.5,elevated,1.4908,1.3006,-0.1902
book,1.5,elevated,1.4908,1.3006,-0.1902
book,1.5,elevated,1.491,1.3102,-0.1807
book,1.5,elevated,1.491,1.3006,-0.1904
book,1.5,elevated,1.4526,1.2859,-0.1667
book,1.5,elevated,1.4523,1.2859,-0.1663
book,1.5,elevated,1.4523,1.2859,-0.1663
book,1.5,elevated,1.8661,1.5544,-0.3117
book,1.5,elevated,1.4523,1.2859,-0.1663
book,1.5,elevated,1.4523,1.2775,-0.1747
book,1.5,elevated,1.4521,1.2775,-0.1746
book,1.5,elevated,1.8665,1.5626,-0.3039
book,1.5,elevated,1.4521,1.2775,-0.1746
book,1.5,elevated,1.4523,1.2775,-0.1747
book,1.5,elevated,1.4508,1.288,-0.1628
book,1.5,elevated,1.4507,1.288,-0.1627
book,1.5,elevated,1.4508,1.288,-0.1628
book,1.5,elevated,1.4508,1.288,-0.1628
book,1.5,elevated,1.4508,1.288,-0.1628
book,1.5,elevated,1.4507,1.288,-0.1627
book,1.5,elevated,1.4507,1.288,-0.1627
book,1.5,elevated,1.4507,1.288,-0.1627
book,1.5,elevated,1.7691,1.5567,-0.2124
book,1.5,elevated,1.7696,1.5567,-0.2129
book,1.5,elevated,1.6872,1.5308,-0.1563
book,1.5,elevated,1.6874,1.5308,-0.1566
book,1.5,elevated,1.6874,1.5308,-0.1566
book,1.5,elevated,1.6874,1.5308,-0.1566
book,1.5,elevated,1.6872,1.5308,-0.1563
book,1.5,elevated,1.6872,1.5308,-0.1563
book,1.5,elevated,1.6875,1.5309,-0.1566
book,1.5,elevated,1.6881,1.5309,-0.1572
book,1.5,elevated,1.6883,1.5308,-0.1575
book,1.5,elevated,1.689,1.5308,-0.1582
book,1.5,elevated,1.7143,1.5598,-0.1545
book,1.5,elevated,1.7143,1.5598,-0.1545
book,1.5,elevated,1.7143,1.5598,-0.1545
book,1.5,elevated,1.7143,1.5598,-0.1545
book,1.5,elevated,1.7143,1.5598,-0.1545
book,1.5,elevated,1.7143,1.5598,-0.1545
book,1.5,elevated,1.7143,1.5598,-0.1545
book,1.5,elevated,1.7143,1.5598,-0.1545
book,1.5,elevated,1.7143,1.5598,-0.1545
book,1.5,elevated,1.7143,1.5598,-0.1545
book,1.5,elevated,1.7094,1.5539,-0.1555
book,1.5,elevated,1.7094,1.5539,-0.1555
book,1.5,elevated,1.7094,1.5539,-0.1555
book,1.5,elevated,1.7095,1.554,-0.1555
book,1.5,elevated,1.7094,1.5539,-0.1555
book,1.5,elevated,1.7094,1.5539,-0.1555
book,1.5,elevated,1.7094,1.5539,-0.1555
book,1.5,elevated,1.7094,1.5539,-0.1555
book,1.5,elevated,1.7094,1.5539,-0.1555
book,1.5,elevated,1.7094,1.5539,-0.1555
book,1.5,elevated,1.6968,1.5444,-0.1524
book,1.5,elevated,1.6963,1.5379,-0.1584
book,1.5,elevated,1.6963,1.5379,-0.1584
book,1.5,elevated,1.6966,1.5379,-0.1587
book,1.5,elevated,1.6965,1.5378,-0.1587
book,1.5,elevated,1.6965,1.5378,-0.1587
book,1.5,elevated,1.6968,1.5444,-0.1524
book,1.5,elevated,1.6969,1.5444,-0.1525
book,1.5,elevated,1.6969,1.5444,-0.1525
book,1.5,elevated,1.6968,1.5444,-0.1524
book,1.5,elevated,1.7181,1.5596,-0.1585
book,1.5,elevated,1.7179,1.5594,-0.1585
book,1.5,elevated,1.7179,1.5594,-0.1585
book,1.5,elevated,1.7157,1.5481,-0.1676
book,1.5,elevated,1.7158,1.5479,-0.1679
book,1.5,elevated,1.7162,1.5478,-0.1684
book,1.5,elevated,1.5735,1.3869,-0.1867
book,1.5,elevated,1.6843,1.542,-0.1423
book,1.5,elevated,1.6842,1.5421,-0.1421
book,1.5,elevated,1.6839,1.5421,-0.1418
book,1.5,elevated,1.6839,1.5421,-0.1418
book,1.5,elevated,1.6839,1.5421,-0.1418
book,1.5,elevated,1.6834,1.5356,-0.1478
book,1.5,elevated,1.6839,1.5421,-0.1418
book,1.5,elevated,1.6839,1.5421,-0.1418
book,1.5,elevated,1.6837,1.5421,-0.1417
book,1.5,elevated,1.6834,1.5356,-0.1478
book,1.5,elevated,1.676,1.5227,-0.1534
book,1.5,elevated,1.6759,1.5227,-0.1532
book,1.5,elevated,1.6759,1.5227,-0.1532
book,1.5,elevated,1.676,1.5227,-0.1534
book,1.5,elevated,1.6759,1.5227,-0.1532
book,1.5,elevated,1.6759,1.5227,-0.1532
book,1.5,elevated,1.6759,1.5227,-0.1532
book,1.5,elevated,1.6759,1.5227,-0.1532
book,1.5,elevated,1.6759,1.5227,-0.1532
book,1.5,elevated,1.6759,1.5227,-0.1532
book,1.5,elevated,1.6815,1.531,-0.1505
book,1.5,elevated,1.6815,1.531,-0.1505
book,1.5,elevated,1.6815,1.531,-0.1505
book,1.5,elevated,1.6815,1.531,-0.1505
book,1.5,elevated,1.6815,1.531,-0.1505
book,1.5,elevated,1.6815,1.531,-0.1505
book,1.5,elevated,1.6815,1.531,-0.1505
book,1.5,elevated,1.6815,1.531,-0.1505
book,1.5,elevated,1.6815,1.531,-0.1505
book,1.5,elevated,1.6815,1.531,-0.1505
book,1.5,elevated,1.7048,1.5438,-0.1611
book,1.5,elevated,1.7051,1.5502,-0.1549
book,1.5,elevated,1.7048,1.5438,-0.1611
book,1.5,elevated,1.7048,1.5438,-0.1611
book,1.5,elevated,1.7048,1.5438,-0.1611
book,1.5,elevated,1.7048,1.5438,-0.1611
book,1.5,elevated,1.7046,1.5438,-0.1608
book,1.5,elevated,1.7048,1.5438,-0.1611
book,1.5,elevated,1.7046,1.5438,-0.1608
book,1.5,elevated,1.7046,1.5438,-0.1608
book,1.5,elevated,1.707,1.5425,-0.1645
book,1.5,elevated,1.707,1.5425,-0.1645
book,1.5,elevated,1.707,1.5425,-0.1645
book,1.5,elevated,1.707,1.5425,-0.1645
book,1.5,elevated,1.707,1.5425,-0.1645
book,1.5,elevated,1.707,1.5425,-0.1645
book,1.5,elevated,1.7067,1.5425,-0.1642
book,1.5,elevated,1.707,1.5425,-0.1645
book,1.5,elevated,1.707,1.5425,-0.1645
book,1.5,elevated,1.707,1.5425,-0.1645
book,1.5,elevated,1.7035,1.5401,-0.1635
book,1.5,elevated,1.7035,1.5401,-0.1635
book,1.5,elevated,1.7035,1.5401,-0.1635
book,1.5,elevated,1.7032,1.5399,-0.1633
book,1.5,elevated,1.7032,1.5399,-0.1633
book,1.5,elevated,1.7032,1.5399,-0.1633
book,1.5,elevated,1.7035,1.5401,-0.1635
book,1.5,elevated,1.7035,1.5401,-0.1635
book,1.5,elevated,1.7035,1.5401,-0.1635
book,1.5,elevated,1.7035,1.5401,-0.1635
book,1.5,elevated,1.7049,1.5442,-0.1607
book,1.5,elevated,1.7049,1.5442,-0.1607
book,1.5,elevated,1.7049,1.5442,-0.1607
book,1.5,elevated,1.7053,1.5442,-0.161
book,1.5,elevated,1.7039,1.5443,-0.1595
book,1.5,elevated,1.7031,1.5511,-0.152
book,1.5,elevated,1.7,1.5729,-0.1271
book,1.5,elevated,1.549,1.3592,-0.1898
book,1.5,elevated,1.5493,1.3502,-0.199
book,1.5,elevated,1.5494,1.3505,-0.1989
book,1.5,elevated,1.5507,1.3552,-0.1955
book,1.5,elevated,1.5507,1.3505,-0.2002
book,1.5,elevated,1.5511,1.3552,-0.196
book,1.5,elevated,1.5511,1.3552,-0.196
book,1.5,elevated,1.5508,1.3552,-0.1956
book,1.5,elevated,1.5505,1.3552,-0.1953
book,1.5,elevated,1.6064,1.4381,-0.1683
book,1.5,elevated,1.6063,1.438,-0.1683
book,1.5,elevated,1.6059,1.438,-0.1679
book,1.5,elevated,1.6056,1.4331,-0.1725
book,1.5,elevated,1.6059,1.438,-0.1679
book,1.5,elevated,1.6059,1.438,-0.1679
book,1.5,elevated,1.6064,1.4381,-0.1683
book,1.5,elevated,1.6069,1.4381,-0.1688
book,1.5,elevated,1.6063,1.438,-0.1683
book,1.5,elevated,1.6063,1.438,-0.1683
book,1.5,elevated,1.5888,1.4186,-0.1702
book,1.5,elevated,1.5885,1.4186,-0.1698
book,1.5,elevated,1.5885,1.4186,-0.1698
book,1.5,elevated,1.5885,1.4187,-0.1698
book,1.5,elevated,1.5887,1.4238,-0.1649
book,1.5,elevated,1.5887,1.4238,-0.1649
book,1.5,elevated,1.5887,1.4238,-0.1649
book,1.5,elevated,1.5887,1.4238,-0.1649
book,2.0,elevated,2.6516,2.579,-0.0726
book,2.0,elevated,2.5904,2.1158,-0.4746
book,2.0,elevated,2.5949,2.1159,-0.4791
book,2.0,elevated,2.5904,2.0849,-0.5055
book,2.0,elevated,2.592,2.085,-0.507
