frame,label,condition,raw_depth,agent_z,target_z,x_diff,z_diff,dist_ground
9,cell phone,30cm,3.8264,4.016,3.826,0.133,0.19,0.2319
10,cell phone,30cm,8.2251,8.492,8.225,0.263,0.267,0.3748
10,cell phone,30cm,8.2025,8.492,8.203,0.657,0.289,0.7178
10,cell phone,30cm,7.9568,8.492,7.957,0.289,0.535,0.6081
11,cell phone,30cm,7.7766,7.874,7.777,0.73,0.097,0.7364
11,cell phone,30cm,7.8081,7.874,7.808,0.168,0.066,0.1805
12,cell phone,30cm,7.287,7.353,7.287,0.676,0.066,0.6792
12,cell phone,30cm,8.1395,7.353,8.139,0.095,0.786,0.7917
12,cell phone,30cm,7.7933,7.353,7.793,0.146,0.44,0.4636
13,cell phone,30cm,7.9297,7.768,7.93,0.704,0.162,0.7224
13,cell phone,30cm,8.1008,7.768,8.101,0.163,0.333,0.3708
14,cell phone,30cm,8.2129,8.0,8.213,0.695,0.213,0.7269
14,cell phone,30cm,8.0759,8.0,8.076,0.212,0.076,0.2252
15,cell phone,30cm,7.86,7.526,7.86,0.519,0.334,0.6172
15,cell phone,30cm,7.2419,7.526,7.242,0.332,0.284,0.4369
16,cell phone,30cm,7.86,7.526,7.86,0.519,0.334,0.6172
16,cell phone,30cm,7.2419,7.526,7.242,0.332,0.284,0.4369
17,cell phone,30cm,7.86,7.526,7.86,0.519,0.334,0.6172
17,cell phone,30cm,7.2419,7.526,7.242,0.332,0.284,0.4369
18,cell phone,30cm,7.0527,7.307,7.053,0.297,0.254,0.3908
19,cell phone,30cm,7.0917,7.372,7.092,0.276,0.28,0.3932
19,cell phone,30cm,7.7416,7.372,7.742,0.549,0.37,0.662
20,cell phone,30cm,8.5576,8.518,8.558,0.352,0.04,0.3543
20,cell phone,30cm,8.9414,8.518,8.941,0.609,0.423,0.7415
21,cell phone,30cm,7.4401,6.636,7.44,0.545,0.804,0.9713
21,cell phone,30cm,7.4401,6.881,7.44,0.494,0.559,0.746
22,cell phone,30cm,7.4401,6.636,7.44,0.545,0.804,0.9713
22,cell phone,30cm,7.4401,6.881,7.44,0.494,0.559,0.746
23,cell phone,30cm,7.4401,6.636,7.44,0.545,0.804,0.9713
23,cell phone,30cm,7.4401,6.881,7.44,0.494,0.559,0.746
24,cell phone,30cm,8.0678,6.954,8.068,0.511,1.114,1.2256
25,cell phone,30cm,8.1096,6.918,8.11,0.513,1.192,1.2977
25,cell phone,30cm,8.1096,6.726,8.11,0.427,1.384,1.4484
26,cell phone,30cm,8.0302,7.004,8.03,0.495,1.026,1.1392
26,cell phone,30cm,7.037,7.004,7.037,0.775,0.033,0.7757
27,cell phone,30cm,7.7414,7.0,7.741,0.505,0.741,0.8967
27,cell phone,30cm,7.7414,6.727,7.741,0.411,1.014,1.0941
28,cell phone,30cm,7.7414,7.0,7.741,0.505,0.741,0.8967
28,cell phone,30cm,7.7414,6.727,7.741,0.411,1.014,1.0941
29,cell phone,30cm,7.7414,7.0,7.741,0.505,0.741,0.8967
29,cell phone,30cm,7.7414,6.727,7.741,0.411,1.014,1.0941
30,cell phone,30cm,7.5954,7.849,7.595,0.441,0.254,0.5089
30,cell phone,30cm,7.5954,4.642,7.595,0.395,2.953,2.9793
31,cell phone,30cm,7.4004,7.502,7.4,0.503,0.102,0.5132
31,cell phone,30cm,7.4004,4.784,7.4,0.457,2.616,2.6556
32,cell phone,30cm,7.4004,7.502,7.4,0.503,0.102,0.5132
32,cell phone,30cm,7.4004,4.784,7.4,0.457,2.616,2.6556
33,cell phone,30cm,7.4004,7.502,7.4,0.503,0.102,0.5132
33,cell phone,30cm,7.4004,4.784,7.4,0.457,2.616,2.6556
34,cell phone,30cm,7.4004,7.502,7.4,0.503,0.102,0.5132
34,cell phone,30cm,7.4004,4.784,7.4,0.457,2.616,2.6556
35,cell phone,30cm,7.4527,7.625,7.453,0.422,0.172,0.4557
35,cell phone,30cm,7.4527,4.734,7.453,0.433,2.719,2.7533
36,cell phone,30cm,7.5543,7.631,7.554,0.462,0.077,0.4684
36,cell phone,30cm,7.1865,7.631,7.186,0.458,0.445,0.6386
