timestamp,label,z_val_m,real_w_cm,real_h_cm,TL_X,TL_Y,TR_X,TR_Y,BL_X,BL_Y,BR_X,BR_Y
19:43:04.299,person,0.6877,42.27,39.65,-0.0348,-0.145,0.3879,-0.145,-0.0348,0.2515,0.3879,0.2515
19:43:04.300,person,0.5314,22.14,38.41,-0.3502,-0.1914,-0.1288,-0.1914,-0.3502,0.1927,-0.1288,0.1927
19:43:04.712,person,0.7735,48.18,44.59,-0.0343,-0.1615,0.4474,-0.1615,-0.0343,0.2844,0.4474,0.2844
19:43:04.713,person,0.4584,20.76,33.75,-0.3026,-0.1703,-0.0949,-0.1703,-0.3026,0.1671,-0.0949,0.1671
19:43:05.038,person,0.7765,48.21,44.76,-0.0345,-0.1621,0.4476,-0.1621,-0.0345,0.2855,0.4476,0.2855
19:43:05.038,person,0.4756,21.83,35.06,-0.3139,-0.1772,-0.0955,-0.1772,-0.3139,0.1734,-0.0955,0.1734
19:43:05.380,person,0.7786,48.1,44.97,-0.0338,-0.1626,0.4472,-0.1626,-0.0338,0.2871,0.4472,0.2871
19:43:05.381,person,0.4821,22.14,35.54,-0.3182,-0.1791,-0.0969,-0.1791,-0.3182,0.1763,-0.0969,0.1763
19:43:05.703,person,0.7749,47.94,44.67,-0.0336,-0.1618,0.4458,-0.1618,-0.0336,0.2849,0.4458,0.2849
19:43:05.703,person,0.4774,21.48,35.1,-0.3151,-0.1769,-0.1004,-0.1769,-0.3151,0.1741,-0.1004,0.1741
19:43:06.042,person,0.7711,48.43,44.53,-0.0406,-0.1618,0.4437,-0.1618,-0.0406,0.2836,0.4437,0.2836
19:43:06.043,person,0.5038,23.34,37.14,-0.3325,-0.1867,-0.0991,-0.1867,-0.3325,0.1847,-0.0991,0.1847
19:43:06.043,tv,1.3946,20.67,20.53,0.7215,0.1354,0.9281,0.1354,0.7215,0.3407,0.9281,0.3407
19:43:06.387,person,0.7597,47.95,43.87,-0.0408,-0.1594,0.4387,-0.1594,-0.0408,0.2793,0.4387,0.2793
19:43:06.387,person,0.4066,16.81,29.93,-0.2684,-0.1507,-0.1002,-0.1507,-0.2684,0.1487,-0.1002,0.1487
19:43:06.706,person,0.7832,49.67,45.39,-0.0445,-0.1659,0.4522,-0.1659,-0.0445,0.288,0.4522,0.288
19:43:06.707,person,0.409,16.66,30.11,-0.27,-0.1515,-0.1034,-0.1515,-0.27,0.1496,-0.1034,0.1496
19:43:07.046,person,0.7803,49.33,45.15,-0.0427,-0.1645,0.4506,-0.1645,-0.0427,0.287,0.4506,0.287
19:43:07.046,person,0.4226,17.56,31.06,-0.2789,-0.1561,-0.1033,-0.1561,-0.2789,0.1545,-0.1033,0.1545
19:43:07.046,tv,1.388,20.57,20.44,0.7181,0.1348,0.9238,0.1348,0.7181,0.3391,0.9238,0.3391
19:43:07.378,person,0.4174,17.48,30.68,-0.2755,-0.1542,-0.1007,-0.1542,-0.2755,0.1526,-0.1007,0.1526
19:43:07.378,person,0.7787,49.47,45.05,-0.0451,-0.1642,0.4497,-0.1642,-0.0451,0.2864,0.4497,0.2864
19:43:07.707,person,0.4205,17.39,30.91,-0.2775,-0.1554,-0.1036,-0.1554,-0.2775,0.1537,-0.1036,0.1537
19:43:07.707,person,0.7913,50.44,45.7,-0.0466,-0.166,0.4578,-0.166,-0.0466,0.291,0.4578,0.291
19:43:08.044,person,0.4483,20.16,32.95,-0.2959,-0.1656,-0.0942,-0.1656,-0.2959,0.1639,-0.0942,0.1639
19:43:08.044,person,0.784,49.73,45.28,-0.0446,-0.1645,0.4527,-0.1645,-0.0446,0.2883,0.4527,0.2883
19:43:08.044,tv,1.3902,20.6,20.61,0.7192,0.135,0.9252,0.135,0.7192,0.3411,0.9252,0.3411
19:43:08.386,person,0.4496,20.08,33.01,-0.2968,-0.1657,-0.0959,-0.1657,-0.2968,0.1644,-0.0959,0.1644
19:43:08.386,person,0.776,63.06,45.06,-0.1857,-0.1652,0.4449,-0.1652,-0.1857,0.2854,0.4449,0.2854
19:43:08.718,person,0.4406,19.27,32.39,-0.2908,-0.1628,-0.0981,-0.1628,-0.2908,0.1611,-0.0981,0.1611
19:43:08.718,person,0.7819,49.84,45.24,-0.0469,-0.1648,0.4515,-0.1648,-0.0469,0.2875,0.4515,0.2875
19:43:09.042,person,0.4345,18.73,31.94,-0.2868,-0.1605,-0.0995,-0.1605,-0.2868,0.1589,-0.0995,0.1589
19:43:09.042,person,0.7812,49.71,45.2,-0.046,-0.1647,0.4511,-0.1647,-0.046,0.2873,0.4511,0.2873
19:43:09.377,person,0.4402,18.25,32.32,-0.2906,-0.1627,-0.1081,-0.1627,-0.2906,0.1605,-0.1081,0.1605
19:43:09.377,person,0.7847,49.77,45.4,-0.0454,-0.1654,0.4523,-0.1654,-0.0454,0.2885,0.4523,0.2885
19:43:09.710,person,0.4508,19.3,33.23,-0.2976,-0.167,-0.1046,-0.167,-0.2976,0.1653,-0.1046,0.1653
19:43:09.710,person,0.7774,49.79,44.98,-0.049,-0.1639,0.4489,-0.1639,-0.049,0.2859,0.4489,0.2859
19:43:10.045,person,0.7756,49.68,44.88,-0.0497,-0.1635,0.4471,-0.1635,-0.0497,0.2852,0.4471,0.2852
19:43:10.045,person,0.4437,18.63,32.71,-0.2929,-0.1644,-0.1066,-0.1644,-0.2929,0.1627,-0.1066,0.1627
19:43:10.377,person,0.7841,50.14,45.28,-0.0486,-0.1645,0.4528,-0.1645,-0.0486,0.2883,0.4528,0.2883
19:43:10.377,person,0.4383,18.26,32.22,-0.2893,-0.1619,-0.1067,-0.1619,-0.2893,0.1603,-0.1067,0.1603
19:43:10.719,person,0.4434,18.7,32.6,-0.2927,-0.1638,-0.1056,-0.1638,-0.2927,0.1621,-0.1056,0.1621
19:43:10.719,person,0.7974,50.99,46.05,-0.0495,-0.1673,0.4604,-0.1673,-0.0495,0.2932,0.4604,0.2932
19:43:10.719,tv,1.3909,20.47,20.05,0.721,0.1365,0.9257,0.1365,0.721,0.337,0.9257,0.337
19:43:11.044,person,0.442,18.46,32.5,-0.2918,-0.1633,-0.1071,-0.1633,-0.2918,0.1616,-0.1071,0.1616
19:43:11.044,person,0.7902,50.62,45.64,-0.0498,-0.1658,0.4563,-0.1658,-0.0498,0.2906,0.4563,0.2906
19:43:11.045,tv,1.3963,20.55,19.98,0.7238,0.137,0.9293,0.137,0.7238,0.3368,0.9293,0.3368
19:43:11.386,person,0.4469,18.43,32.8,-0.2949,-0.1646,-0.1106,-0.1646,-0.2949,0.1634,-0.1106,0.1634
19:43:11.386,person,0.7775,56.97,45.3,-0.1215,-0.1671,0.4481,-0.1671,-0.1215,0.2859,0.4481,0.2859
19:43:11.386,tv,1.393,20.65,19.93,0.7207,0.1367,0.9271,0.1367,0.7207,0.336,0.9271,0.336
19:43:11.719,person,0.4403,18.66,32.37,-0.2906,-0.1627,-0.104,-0.1627,-0.2906,0.161,-0.104,0.161
19:43:11.719,person,0.8059,64.9,46.63,-0.207,-0.1699,0.442,-0.1699,-0.207,0.2963,0.442,0.2963
19:43:11.720,tv,1.3981,20.72,19.57,0.7233,0.1372,0.9305,0.1372,0.7233,0.3329,0.9305,0.3329
19:43:12.044,person,0.4295,17.58,31.62,-0.2835,-0.1587,-0.1077,-0.1587,-0.2835,0.1575,-0.1077,0.1575
19:43:12.044,person,0.7761,56.06,44.9,-0.1221,-0.1636,0.4385,-0.1636,-0.1221,0.2854,0.4385,0.2854
19:43:12.378,person,0.8018,50.61,46.47,-0.0431,-0.1699,0.463,-0.1699,-0.0431,0.2949,0.463,0.2949
19:43:12.378,person,0.4208,17.97,30.98,-0.2778,-0.1555,-0.0981,-0.1555,-0.2778,0.1543,-0.0981,0.1543
19:43:12.379,tv,1.3856,20.54,19.4,0.7168,0.136,0.9222,0.136,0.7168,0.3299,0.9222,0.3299
19:43:12.712,person,0.8139,51.54,47.34,-0.0446,-0.1741,0.4708,-0.1741,-0.0446,0.2993,0.4708,0.2993
19:43:12.712,person,0.4217,17.92,31.04,-0.2783,-0.1558,-0.0991,-0.1558,-0.2783,0.1546,-0.0991,0.1546
19:43:12.712,tv,1.3872,20.42,19.27,0.7191,0.1361,0.9232,0.1361,0.7191,0.3289,0.9232,0.3289
19:43:13.044,person,0.7329,45.72,42.4,-0.0409,-0.1545,0.4164,-0.1545,-0.0409,0.2695,0.4164,0.2695
19:43:13.045,person,0.4355,18.87,31.97,-0.2875,-0.1609,-0.0988,-0.1609,-0.2875,0.1588,-0.0988,0.1588
19:43:13.386,person,0.7592,48.63,43.85,-0.0573,-0.1593,0.429,-0.1593,-0.0573,0.2792,0.429,0.2792
19:43:13.387,person,0.4175,18.22,30.78,-0.2755,-0.1542,-0.0934,-0.1542,-0.2755,0.1535,-0.0934,0.1535
19:43:13.711,person,0.7569,54.21,43.79,-0.1105,-0.1596,0.4316,-0.1596,-0.1105,0.2783,0.4316,0.2783
19:43:13.711,person,0.4273,17.49,31.46,-0.2821,-0.1583,-0.1071,-0.1583,-0.2821,0.1563,-0.1071,0.1563
19:43:14.048,person,0.7719,56.0,44.74,-0.1159,-0.1636,0.4442,-0.1636,-0.1159,0.2839,0.4442,0.2839
19:43:14.049,person,0.4279,17.65,31.5,-0.2824,-0.1585,-0.1059,-0.1585,-0.2824,0.1565,-0.1059,0.1565
19:43:14.049,tv,1.3848,20.52,19.24,0.7164,0.1359,0.9216,0.1359,0.7164,0.3283,0.9216,0.3283
19:43:14.377,person,0.7693,56.61,44.59,-0.1251,-0.163,0.441,-0.163,-0.1251,0.2829,0.441,0.2829
19:43:14.377,person,0.4119,17.12,30.24,-0.2719,-0.1518,-0.1007,-0.1518,-0.2719,0.1506,-0.1007,0.1506
19:43:14.378,cell phone,0.5581,10.58,20.95,-0.1191,-0.0349,-0.0132,-0.0349,-0.1191,0.1746,-0.0132,0.1746
19:43:14.378,tv,1.4073,20.71,19.41,0.7295,0.1396,0.9366,0.1396,0.7295,0.3336,0.9366,0.3336
19:43:14.711,person,0.4578,20.45,33.61,-0.3022,-0.1687,-0.0977,-0.1687,-0.3022,0.1674,-0.0977,0.1674
19:43:14.711,person,0.7912,59.29,45.53,-0.1696,-0.1644,0.4233,-0.1644,-0.1696,0.2909,0.4233,0.2909
19:43:14.712,cell phone,0.4289,8.36,17.7,-0.0986,-0.0237,-0.015,-0.0237,-0.0986,0.1533,-0.015,0.1533
19:43:15.053,cell phone,0.4483,8.6,16.36,-0.1007,-0.0243,-0.0148,-0.0243,-0.1007,0.1393,-0.0148,0.1393
19:43:15.054,person,0.4697,21.08,34.53,-0.31,-0.1735,-0.0992,-0.1735,-0.31,0.1717,-0.0992,0.1717
19:43:15.054,person,0.7932,59.76,45.81,-0.1684,-0.1664,0.4292,-0.1664,-0.1684,0.2917,0.4292,0.2917
19:43:15.054,tv,1.4058,20.83,19.53,0.7273,0.138,0.9356,0.138,0.7273,0.3333,0.9356,0.3333
