frame,label,condition,raw_depth,agent_z,target_z,x_diff,z_diff,dist_ground
63,cell phone,30cm,8.4271,5.731,8.427,4.031,2.696,4.8495
63,remote,30cm,7.6965,5.731,7.697,2.537,1.966,3.2096
63,cell phone,30cm,4.3293,5.731,4.329,1.359,1.402,1.9526
63,remote,30cm,4.322,5.731,4.322,1.357,1.409,1.9562
64,cell phone,30cm,8.761,5.917,8.761,4.1,2.844,4.9898
64,remote,30cm,6.8945,5.917,6.894,2.101,0.977,2.3171
65,cell phone,30cm,9.0518,4.825,9.052,4.601,4.227,6.2479
65,remote,30cm,7.9806,4.825,7.981,2.159,3.156,3.8238
66,cell phone,30cm,7.2475,3.537,7.247,2.649,3.71,4.5587
66,toothbrush,30cm,5.5164,3.537,5.516,3.053,1.979,3.6383
66,remote,30cm,5.5202,3.537,5.52,3.054,1.983,3.6413
67,remote,30cm,4.467,3.79,4.467,2.787,0.677,2.868
67,remote,30cm,7.3594,3.79,7.359,2.72,3.569,4.4873
67,remote,30cm,4.467,5.292,4.467,1.312,0.825,1.5498
67,remote,30cm,7.3594,5.292,7.359,4.195,2.067,4.6766
68,cell phone,30cm,7.5618,4.227,7.562,2.825,3.335,4.3707
68,remote,30cm,4.5056,4.227,4.506,2.744,0.279,2.7581
68,cell phone,30cm,7.5618,5.285,7.562,4.246,2.277,4.818
68,remote,30cm,4.5056,5.285,4.506,1.323,0.779,1.5353
69,remote,30cm,4.1035,4.578,4.104,2.579,0.474,2.6222
69,toothbrush,30cm,4.1022,4.578,4.102,2.578,0.476,2.6216
69,cell phone,30cm,7.3913,4.578,7.391,2.827,2.813,3.9881
69,remote,30cm,4.1035,5.319,4.104,1.191,1.215,1.7014
69,toothbrush,30cm,4.1022,5.319,4.102,1.19,1.217,1.7021
69,cell phone,30cm,7.3913,5.319,7.391,4.215,2.072,4.6967
70,toothbrush,30cm,11.5045,5.765,11.505,4.845,5.74,7.5114
70,remote,30cm,11.506,5.765,11.506,4.845,5.741,7.5122
70,toothbrush,30cm,11.5045,10.879,11.505,11.655,0.626,11.6718
70,remote,30cm,11.506,10.879,11.506,11.655,0.627,11.6719
71,toothbrush,30cm,11.277,6.7,11.277,4.127,4.577,6.1629
71,remote,30cm,11.2773,6.7,11.277,4.127,4.577,6.1629
71,cell phone,30cm,11.2769,6.7,11.277,4.127,4.577,6.1629
71,toothbrush,30cm,11.277,10.813,11.277,11.543,0.464,11.5523
71,remote,30cm,11.2773,10.813,11.277,11.543,0.464,11.5523
71,cell phone,30cm,11.2769,10.813,11.277,11.543,0.464,11.5523
72,toothbrush,30cm,10.8422,6.681,10.842,3.92,4.161,5.7167
73,remote,30cm,10.1737,6.734,10.174,3.531,3.44,4.9297
73,toothbrush,30cm,10.1712,6.734,10.171,3.53,3.437,4.9269
74,toothbrush,30cm,10.013,6.687,10.013,3.481,3.326,4.8145
74,remote,30cm,10.0127,6.687,10.013,3.481,3.326,4.8145
75,toothbrush,30cm,9.7884,6.692,9.788,3.339,3.096,4.5535
75,remote,30cm,9.7878,6.692,9.788,3.339,3.096,4.5535
76,toothbrush,30cm,9.7884,6.692,9.788,3.339,3.096,4.5535
76,remote,30cm,9.7878,6.692,9.788,3.339,3.096,4.5535
77,toothbrush,30cm,9.7884,6.692,9.788,3.339,3.096,4.5535
77,remote,30cm,9.7878,6.692,9.788,3.339,3.096,4.5535
78,remote,30cm,9.6884,6.71,9.688,3.284,2.978,4.4332
78,toothbrush,30cm,9.6868,6.71,9.687,3.284,2.977,4.4325
79,toothbrush,30cm,9.4826,6.697,9.483,3.21,2.786,4.2504
79,cell phone,30cm,8.1048,6.697,8.105,5.318,1.408,5.5012
79,remote,30cm,9.4808,6.697,9.481,3.209,2.784,4.2483
79,toothbrush,30cm,9.4826,10.581,9.483,10.428,1.098,10.4856
79,cell phone,30cm,8.1048,10.581,8.105,1.9,2.476,3.121
79,remote,30cm,9.4808,10.581,9.481,10.427,1.1,10.4849
80,remote,30cm,11.2371,6.574,11.237,3.961,4.663,6.1183
80,toothbrush,30cm,11.2372,6.574,11.237,3.961,4.663,6.1183
80,cell phone,30cm,9.6241,6.574,9.624,5.857,3.05,6.6036
80,remote,30cm,11.2371,1.038,11.237,4.668,10.199,11.2165
80,toothbrush,30cm,11.2372,1.038,11.237,4.668,10.199,11.2165
80,cell phone,30cm,9.6241,1.038,9.624,5.15,8.586,10.0121
81,remote,30cm,6.7906,6.933,6.791,0.609,0.142,0.6253
81,remote,30cm,6.7906,1.294,6.791,2.547,5.497,6.0584
81,cell phone,30cm,8.9328,6.933,8.933,6.527,2.0,6.8265
81,remote,30cm,8.974,6.933,8.974,1.547,2.041,2.561
81,cell phone,30cm,8.9328,1.294,8.933,4.589,7.639,8.9114
81,remote,30cm,8.974,1.294,8.974,3.485,7.68,8.4337
82,remote,30cm,5.5145,6.236,5.514,0.743,0.722,1.036
82,cell phone,30cm,8.3944,6.236,8.394,5.897,2.158,6.2795
82,toothbrush,30cm,5.5144,6.236,5.514,0.743,0.722,1.036
83,toothbrush,30cm,4.149,6.025,4.149,0.28,1.876,1.8968
83,remote,30cm,4.149,6.025,4.149,0.28,1.876,1.8968
83,cell phone,30cm,8.3856,6.025,8.386,6.089,2.361,6.5307
84,remote,30cm,4.802,6.118,4.802,0.159,1.316,1.3256
84,remote,30cm,4.802,0.985,4.802,2.251,3.817,4.4313
85,remote,30cm,4.9087,6.142,4.909,0.07,1.233,1.235
85,cell phone,30cm,8.8901,6.142,8.89,6.796,2.748,7.3306
85,remote,30cm,4.9087,1.05,4.909,2.315,3.859,4.5001
85,cell phone,30cm,8.8901,1.05,8.89,4.551,7.84,9.0652
86,remote,30cm,5.3234,6.166,5.323,0.05,0.843,0.8445
86,cell phone,30cm,8.3007,6.166,8.301,6.561,2.135,6.8996
87,cell phone,30cm,0.7088,5.002,0.709,0.076,4.293,4.2937
87,cell phone,30cm,0.7088,6.092,0.709,2.82,5.383,6.0769
88,cell phone,30cm,1.0383,5.155,1.038,0.041,4.117,4.1172
89,cell phone,30cm,1.0383,5.155,1.038,0.041,4.117,4.1172
90,cell phone,30cm,5.2411,3.737,5.241,0.989,1.504,1.8
91,cell phone,30cm,5.2411,3.737,5.241,0.989,1.504,1.8
92,cell phone,30cm,5.2411,3.737,5.241,0.989,1.504,1.8
93,cell phone,30cm,5.2411,3.737,5.241,0.989,1.504,1.8
94,cell phone,30cm,4.4259,3.583,4.426,0.607,0.843,1.0388
94,cup,30cm,15.8909,3.583,15.891,8.688,12.308,15.0655
95,cell phone,30cm,4.5076,3.419,4.508,0.532,1.089,1.212
95,cell phone,30cm,4.5076,19.317,4.508,11.228,14.809,18.5843
96,cell phone,30cm,4.3716,2.544,4.372,0.85,1.828,2.016
97,cell phone,30cm,4.3716,2.544,4.372,0.85,1.828,2.016
98,cell phone,30cm,4.3716,2.544,4.372,0.85,1.828,2.016
99,cell phone,30cm,4.3716,2.544,4.372,0.85,1.828,2.016
100,cell phone,30cm,7.5051,9.213,7.505,1.895,1.708,2.5511
101,cell phone,30cm,7.0812,4.309,7.081,0.886,2.772,2.9102
101,cell phone,30cm,7.0812,6.081,7.081,1.657,1.0,1.9354
102,chair,30cm,14.1463,6.048,14.146,2.058,8.098,8.3554
