timestamp,label,z_val_m,real_w_cm,real_h_cm,TL_X,TL_Y,TR_X,TR_Y,BL_X,BL_Y,BR_X,BR_Y
19:34:44.614,person,0.9011,23.53,32.05,-0.0316,0.01,0.2037,0.01,-0.0316,0.3304,0.2037,0.3304
19:34:45.007,person,1.0153,45.14,36.32,-0.0735,0.0081,0.3779,0.0081,-0.0735,0.3712,0.3779,0.3712
19:34:45.344,person,1.0064,44.96,36.0,-0.0749,0.008,0.3746,0.008,-0.0749,0.368,0.3746,0.368
19:34:45.667,person,0.997,44.33,35.66,-0.0722,0.0079,0.3711,0.0079,-0.0722,0.3646,0.3711,0.3646
19:34:45.994,person,1.0169,44.69,36.38,-0.0683,0.0081,0.3785,0.0081,-0.0683,0.3718,0.3785,0.3718
19:34:46.331,person,1.0112,39.3,36.07,-0.0187,0.0101,0.3743,0.0101,-0.0187,0.3708,0.3743,0.3708
19:34:46.676,cell phone,0.4854,7.7,13.29,-0.1086,0.0179,-0.0316,0.0179,-0.1086,0.1508,-0.0316,0.1508
19:34:46.676,person,1.0476,63.08,37.47,-0.2441,0.0094,0.3867,0.0094,-0.2441,0.3841,0.3867,0.3841
19:34:46.677,person,0.5124,32.61,34.7,-0.3382,-0.1601,-0.0121,-0.1601,-0.3382,0.1868,-0.0121,0.1868
19:34:47.008,cell phone,0.61,8.35,15.88,-0.1131,0.001,-0.0296,0.001,-0.1131,0.1598,-0.0296,0.1598
19:34:47.008,person,1.0392,60.32,37.07,-0.2185,0.0104,0.3847,0.0104,-0.2185,0.3811,0.3847,0.3811
19:34:47.341,cell phone,0.6425,8.46,16.05,-0.1237,-0.0129,-0.0392,-0.0129,-0.1237,0.1476,-0.0392,0.1476
19:34:47.341,person,1.0487,61.74,37.41,-0.2292,0.0105,0.3882,0.0105,-0.2292,0.3845,0.3882,0.3845
19:34:47.663,person,1.0424,61.37,37.18,-0.2278,0.0104,0.3859,0.0104,-0.2278,0.3823,0.3859,0.3823
19:34:47.663,cell phone,0.7307,9.54,17.88,-0.1407,-0.0116,-0.0453,-0.0116,-0.1407,0.1672,-0.0453,0.1672
19:34:48.000,person,1.028,59.45,36.88,-0.2172,0.0082,0.3773,0.0082,-0.2172,0.377,0.3773,0.377
19:34:48.000,cell phone,0.6736,9.14,16.69,-0.129,-0.0135,-0.0376,-0.0135,-0.129,0.1534,-0.0376,0.1534
19:34:48.344,person,1.054,60.95,37.59,-0.2194,0.0105,0.3901,0.0105,-0.2194,0.3865,0.3901,0.3865
19:34:48.344,cell phone,0.636,8.9,15.76,-0.1166,-0.0095,-0.0276,-0.0095,-0.1166,0.1482,-0.0276,0.1482
19:34:48.663,cell phone,0.6691,9.22,16.58,-0.1226,-0.0093,-0.0304,-0.0093,-0.1226,0.1565,-0.0304,0.1565
19:34:48.663,person,1.0391,58.58,36.95,-0.2023,0.0104,0.3836,0.0104,-0.2023,0.3799,0.3836,0.3799
19:34:49.002,cell phone,0.677,9.4,16.64,-0.1234,-0.0087,-0.0294,-0.0087,-0.1234,0.1577,-0.0294,0.1577
19:34:49.002,person,1.0582,60.87,37.53,-0.217,0.0117,0.3917,0.0117,-0.217,0.3869,0.3917,0.3869
19:34:49.334,cell phone,0.7324,9.94,18.0,-0.1304,-0.0079,-0.031,-0.0079,-0.1304,0.1721,-0.031,0.1721
19:34:49.334,person,1.0825,61.6,38.5,-0.2152,0.012,0.4007,0.012,-0.2152,0.397,0.4007,0.397
19:34:49.670,person,1.0659,60.1,37.8,-0.2064,0.0118,0.3946,0.0118,-0.2064,0.3898,0.3946,0.3898
19:34:49.670,cell phone,0.735,9.9,18.14,-0.1301,-0.0071,-0.0311,-0.0071,-0.1301,0.1743,-0.0311,0.1743
19:34:50.000,person,1.0613,58.3,37.64,-0.1901,0.0117,0.3929,0.0117,-0.1901,0.3881,0.3929,0.3881
19:34:50.000,cell phone,0.705,9.65,17.4,-0.1241,-0.0046,-0.0277,-0.0046,-0.1241,0.1693,-0.0277,0.1693
19:34:50.335,person,1.0611,58.28,37.74,-0.1901,0.0106,0.3928,0.0106,-0.1901,0.388,0.3928,0.388
19:34:50.336,cell phone,0.6841,9.22,16.81,-0.1197,-0.0038,-0.0275,-0.0038,-0.1197,0.1643,-0.0275,0.1643
19:34:50.668,person,1.0591,57.85,37.67,-0.1864,0.0117,0.392,0.0117,-0.1864,0.3883,0.392,0.3883
19:34:50.669,cell phone,0.7273,9.87,17.72,-0.1273,-0.0025,-0.0285,-0.0025,-0.1273,0.1747,-0.0285,0.1747
